codigo,categoria,unidad,descripcion_corta,descripcion_detallada,mano_de_obra,maquinaria,materiales_y_otros,precio_total,tags,tipo,fecha
E20XW010,REEMPL. EN POLIET. RET. WIRSBO-PEX Y PVC,ud,INST.FONT.PARA BARRA DE BAR,"Instalación de fontanería para una barra de bar, realizada con tuberías de cobre para las redes de agua fría y caliente y con tuberías de PVC serie B, para la red de desagües, dando servicio a los siguientes elementos: dos fregaderos de dos senos, dos desagües para grifos de cerveza, toma de agua y desagüe en cafetera y dos tomas de 15 mm. para máquinas de cubitos de hielo y lavavajillas, con sus respectivos desagües, terminada, todos los desagües con sifones individuales, e incluso con p.p. de bajante de PVC de 125 mm.  Las tomas de agua y los desagües, se entregaran con tapones.",0.0,0.0,376.31,376.31,"grifería, lavavajillas, toma, servicio, fregadero, desagüe, caliente, individual, tapón, agua, tubería, máquina, barra, seno, frío, terminación, cobre, sifón, red, instalación, bajante, hielo, PVC, fontanería, ",Partida,2000-01-31
E20XW020,REEMPL. EN POLIET. RET. WIRSBO-PEX Y PVC,ud,INST.FONT.PARA COCINA INDUSTR.,"Instalación de fontanería para una cocina industrial, realizada con tuberías de cobre para las redes de agua fría y caliente, y con tuberías de PVC serie B, para la red de desagües, dando servicio a los siguientes elementos: dos fregaderos de dos senos, toma de agua y desagüe para el pelapatatas, dos tomas de agua y desagües para marmitas, y dos tomas de 15 mm. para máquina de cubitos de hielo y lavavajillas, con sus respectivos desagües, terminada, todos los desagües con sifones individuales, e incluso previsión de tomas de agua para la instalación de un calentador a gas, y p.p. de bajante de PVC de 125 mm. de diámetro.  Las tomas de agua y los desagües, se entregaran con tapones.",0.0,0.0,578.88,578.88,"cocina, tapón, individual, caliente, máquina, industrial, desagüe, calentador, toma, fregadero, agua, seno, lavavajillas, cobre, gas, red, bajante, diámetro, tubería, terminación, sifón, instalación, fontanería, PVC, servicio, hielo, frío, ",Partida,2000-01-31
E21#,EN ELEMENTOS SINGULARES,,APARATOS SANITARIOS,APARATOS SANITARIOS,0.0,0.0,0.0,0.0,"aparato, sanitario, ",Capítulo,2000-01-31
E21A#,APARATOS SANITARIOS,,APARATOS SANITARIOS,APARATOS SANITARIOS,0.0,0.0,0.0,0.0,"sanitario, aparato, ",Capítulo,2000-01-31
E21AB#,APARATOS SANITARIOS,,BAÑERAS,BAÑERAS,0.0,0.0,0.0,0.0,"bañera, ",Capítulo,2000-01-31
E21ABA#,BAÑERAS,,ACRÍLICAS,ACRÍLICAS,0.0,0.0,0.0,0.0,"acrílico, ",Capítulo,2000-01-31
E21ABA010,BAÑERAS,ud,BAÑERA ACR.180x90 G.MONOMANDO,"Bañera acrílica con faldón, rectangular, de 180x90 cm. y con acabados cromados, con grifería mezcladora exterior monomando, con inversor automático baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado, cromada mod. Aquasol-2 de  RamonSoler, incluso desagüe con rebosadero, de salida horizontal, de 40 mm., instalada y funcionando.",15.61,0.0,872.86,888.47,"cromado, mezcla, flexible, desagüe, ducha, monomando, grifería, acrílico, rebosadero, inversor, automático, salida, exterior, faldón, instalación, soporte, articulación, horizontal, teléfono, bañera, ",Partida,2000-01-31
E21ABA020,BAÑERAS,ud,BAÑERA ACR.ESCUAD.145x145 G.MMDO,"Bañera acrílica con faldón, de escuadra, de 145x145 cm. y con acabados cromados, con grifería mezcladora exterior monomando, con inversor automático baño-ducha, ducha teléfono con rociador regulable, flexible de 170 cm. y soporte articulado, en color mod. Ergos de RamonSoler, incluso desagüe con rebosadero, de salida vertical, de 40 mm., instalada y funcionando.",23.41,0.0,828.94,852.36,"escuadra, cromado, rebosadero, inversor, grifería, rociador, articulación, ducha, desagüe, mezcla, regulación, flexible, exterior, soporte, teléfono, salida, faldón, acrílico, automático, color, bañera, instalación, vertical, monomando, ",Partida,2000-01-31
E21ABA030,BAÑERAS,ud,BAÑERA ACR.170x80 G.MONOBLOC,"Bañera acrílica de empotrar, rectangular, de 170x80 cm. y con asas cromadas, con grifería mezcladora exterior monomando, con inversor automático baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado, cromada mod. Aquasol-2 de RamonSoler, incluso desagüe con rebosadero, de salida horizontal, de 40 mm., instalada y funcionando.",15.61,0.0,475.63,491.24,"monomando, empotrable, asa, inversor, cromado, grifería, ducha, flexible, bañera, mezcla, desagüe, instalación, rebosadero, articulación, automático, teléfono, salida, acrílico, soporte, exterior, monobloc, horizontal, ",Partida,2000-01-31
E21ABA040,BAÑERAS,ud,BAÑ.ACRILICA 170x75 G.MMDO. ODEÓN B.,"Bañera acrílica de 170x75 cm. en blanco con pies regulables, mod. Odeón de Jacob Delafon con grifería cromada mezcladora exterior monomando mural mod. JD97 Jacob Delafon, con inversor automático baño-ducha, ducha teléfono, flexible de 170 cm. y soporte articulado, incluso desagüe con rebosadero, de salida vertical, de 40 mm., instalado y funcionando.",15.61,0.0,351.08,366.69,"bañera, inversor, monomando, grifería, ducha, desagüe, rebosadero, mezcla, cromado, regulación, flexible, teléfono, automático, exterior, salida, acrílico, articulación, pie, instalación, mural, soporte, blanco, vertical, ",Partida,2000-01-31
